essay_id_comp,Last Name,Assignment,Class,Overall,Choose Words Carefully,Connect Ending,Consider & Refute Counterclaims,Elaborate (Arg),End with an Idea,Hook the Reader,Organize for Flow and Logic,"State a Claim, Opinion, or Point of View",Support with Reasons & Evidence,Use Transitions,Use Voice/Style/Tone
041C8CA04C08,Student,facial action coding,Facial action coding,50%,67%,33%,33%,33%,33%,67%,67%,67%,33%,67%,67%
0D89C8189022,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
0F7D49900D1C,Student,facial action coding,Facial action coding,39%,33%,33%,33%,33%,33%,67%,33%,67%,33%,33%,33%
114608C6747D,Student,facial action coding,Facial action coding,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%
166D0B2124DA,Student,facial action coding,Facial action coding,22%,33%,33%,0%,33%,33%,33%,0%,33%,33%,0%,33%
1C51F32A0689,Student,facial action coding,Facial action coding,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%
1D8018A28D04,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
1E9EBB2F62A0,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
1FC7106860A2,Student,facial action coding,Facial action coding,61%,67%,33%,67%,67%,33%,67%,67%,67%,67%,67%,67%
2010E484FDBB,Student,facial action coding,Facial action coding,39%,33%,33%,67%,33%,33%,33%,33%,33%,33%,33%,33%
20E320AA966E,Student,facial action coding,Facial action coding,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%
215827A144F8,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
234703963FB1,Student,facial action coding,Facial action coding,39%,33%,33%,33%,33%,33%,67%,33%,67%,33%,33%,33%
23C916766386,Student,facial action coding,Facial action coding,50%,67%,33%,33%,33%,33%,67%,67%,67%,33%,67%,67%
2410D609BA60,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
2450993EB016,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
2B5560516314,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
2C4BB3ACA451,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
3236876CE120,Student,facial action coding,Facial action coding,39%,33%,33%,33%,33%,33%,67%,33%,67%,33%,33%,33%
3F224B1AF963,Student,facial action coding,Facial action coding,50%,67%,67%,33%,33%,67%,67%,33%,67%,33%,33%,67%
407CDC6692CA,Student,facial action coding,Facial action coding,44%,67%,33%,33%,33%,33%,67%,33%,67%,33%,33%,67%
40E7A7FDF48D,Student,facial action coding,Facial action coding,17%,33%,0%,0%,33%,0%,33%,0%,33%,33%,0%,33%
440E6F5DC224,Student,facial action coding,Facial action coding,28%,33%,33%,0%,33%,33%,33%,33%,33%,33%,33%,33%
44D379F60DD2,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
455D0FE2839E,Student,facial action coding,Facial action coding,6%,0%,0%,0%,0%,0%,33%,0%,33%,0%,0%,0%
466692F9C4B9,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
46EB864A3362,Student,facial action coding,Facial action coding,56%,67%,67%,33%,33%,67%,67%,67%,67%,33%,67%,67%
49E85AF686E1,Student,facial action coding,Facial action coding,39%,33%,33%,67%,33%,33%,33%,33%,33%,33%,33%,33%
4DB817B0DE25,Student,facial action coding,Facial action coding,44%,67%,33%,33%,33%,33%,67%,33%,67%,33%,33%,67%
4E1CF079ECDD,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
55792E29E3A0,Student,facial action coding,Facial action coding,28%,33%,33%,0%,33%,33%,33%,33%,33%,33%,33%,33%
558BB83BB400,Student,facial action coding,Facial action coding,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%
56ECA100D97A,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
585B6471A19D,Student,facial action coding,Facial action coding,73%,67%,67%,67%,100%,67%,67%,67%,67%,100%,67%,67%
59D72A2EE874,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
5C2B6A9275A3,Student,facial action coding,Facial action coding,50%,67%,67%,33%,33%,67%,67%,33%,67%,33%,33%,67%
5C2EF956CE1C,Student,facial action coding,Facial action coding,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
